site,year,pre_post_fire,plot_id,observer,species,status,lifeform,layerCode,percent,notes,,,
downieville,2020,prefire,RedAnt62,km,tallpenstemon,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,THAFEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt32,vs,THAFEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,THAFEN,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,TRADUB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,LYSLAT,live,FB,na,tr,trientalis latifolia,,,
downieville,2020,prefire,RedAnt62,km,LYSLAT,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,verysofttriangular,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,verysofttriangular,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,VICAME-AME,live,FB,na,tr,Vicia americana var. americana,,,
downieville,2020,prefire,RedAnt35,vs,VICAME-AME,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,VIOLOB,live,FB,na,tr,viola lobata,,,
downieville,2020,prefire,RedAnt59,vs,VIOLOB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,VIOLOB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt61,vs,VIOLOB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt53,vs,VIOLOB,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt54,vs,VIOLOB ,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt45,km,ERINUD,live,FB,na,tr,tiny leaves,,,
downieville,2020,prefire,RedAnt45,km,ERINUD,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt45,km,ASPDEN,live,FERN ,na,tr,Aspidotis densa,,,
downieville,2020,prefire,RedAnt29,km,PTEAQU,live,FERN ,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,PTEAQU,live,FERN ,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,PTEAQU,live,FERN ,na,tr,,,,
downieville,2020,prefire,RedAnt36,vs,PTEAQU,live,FERN ,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,clumpedspotgrass,live,GR,na,0.25,maybe same as grasslookingcarex,,,
downieville,2020,prefire,RedAnt62,km,clumpedspotgrass,live,GR,na,0.25,,,,
downieville,2020,prefire,RedAnt29,km,longskinnyrush,live,GR,na,0.25,,,,
downieville,2020,prefire,RedAnt62,km,longskinnyrush,live,GR,na,0.25,,,,
downieville,2020,prefire,RedAnt29,km,talllargevrass,live,GR,na,0.25,,,,
downieville,2020,prefire,RedAnt62,km,largelongawn,live,GR,na,0.5,,,,
downieville,2020,prefire,RedAnt59,vs,carex11,live,GR,na,1,,,,
downieville,2020,prefire,RedAnt35,vs,DACGLO,live,GR,na,1,,,,
downieville,2020,prefire,RedAnt35,vs,ELYELY,live,GR,na,1,,,,
downieville,2020,prefire,RedAnt62,km,largestipulegrass,live,GR,na,1,,,,
downieville,2020,prefire,RedAnt41,vs,Melica,live,GR,na,1,,,,
downieville,2020,prefire,RedAnt35,vs,Stipa,live,GR,na,1,,,,
downieville,2020,prefire,RedAnt35,vs,Melica,live,GR,na,2,,,,
downieville,2020,prefire,RedAnt46,vs,carex10,live,GR,na,4,,,,
downieville,2020,prefire,RedAnt35,vs,ELYTRI,live,GR,na,4,,,,
downieville,2020,prefire,RedAnt62,km,thingrass,live,GR,na,7,,,,
downieville,2020,prefire,RedAnt35,vs,ELYGLA,live,GR,na,10,,,,
downieville,2020,prefire,RedAnt62,km,carex10,live,GR,na,17,,,,
downieville,2020,prefire,RedAnt45,km,carex10,live,GR,na,20,feels fake,,,
downieville,2020,prefire,RedAnt62,km,bromus1,live,GR,na,35,,,,
downieville,2020,prefire,RedAnt35,vs,AVEBAR,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,bluelongpetiole,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt46,vs,BROCAR,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,BROCAR,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt32,vs,BROCAR,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,BROCAR,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt49,km,bromus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt39,km,bromus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt38,km,bromus1,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt51,km,bromus1,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,bromus1,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt45,km,Bromus1,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt38,km,Carex,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt32,vs,Carex,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,Carex,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt36,vs,Carex,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt37,vs,Carex,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,DACGLO,live,GR,na,tr,Dactylis glomerata,,,
downieville,2020,prefire,RedAnt29,km,deepVgrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt45,km,ELYELY,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt32,vs,ELYTRI,live,GR,na,tr,Elymus triticoides,,,
downieville,2020,prefire,RedAnt36,vs,FESRUB,live,GR,na,tr,Festuca rubra,,,
downieville,2020,prefire,RedAnt37,vs,Festuca,live,GR,na,tr,L,,,
downieville,2020,prefire,RedAnt37,vs,Festuca,dead,GR,na,tr,M,,,
downieville,2020,prefire,RedAnt28,km,flatfloppygrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,grass7,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,grasslookingcarex,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt45,km,grasslookingcarex,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt50,km,IRHA,live,GR,na,tr,sample,,,
downieville,2020,prefire,RedAnt46,vs,Juncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt41,vs,Juncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt59,vs,Juncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt56,vs,Juncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt55,vs,Juncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,Juncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt49,km,Juncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt50,km,Juncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt51,km,Juncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,Juncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,largehollowrush,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,largelongawn,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,largestipulegrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,largestipulegrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,largestipulegrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,larvelongawn,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,longskinnyrush,live,GR,na,tr,singular,,,
downieville,2020,prefire,RedAnt45,km,longskinnyrush ,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt43,km,longskinnyrush ,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,Melica,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt32,vs,Melica,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt38,km,small grass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,small juncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,smallgrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,smallinflgrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,smallinflgrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt30a,km,smallinflgrass ,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt62,km,smalljuncus,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt46,vs,Stipa,live,GR,na,tr,L,,,
downieville,2020,prefire,RedAnt46,vs,Stipa,live,GR,na,tr,M,,,
downieville,2020,prefire,RedAnt30b,vs,Stipa,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt32,vs,Stipa,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt36,vs,Stipa,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt37,vs,Stipa,live,GR,na,tr,L,,,
downieville,2020,prefire,RedAnt37,vs,Stipa,live,GR,na,tr,M,,,
downieville,2020,prefire,RedAnt45,km,thingrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,wireleafgrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,wireleafgrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,wirygrass,live,GR,na,tr,,,,
downieville,2020,prefire,RedAnt38,km,ygrass,live,GR,na,tr,x,,,
downieville,2020,prefire,RedAnt51,km,ygrass,live,GR,na,tr,x,,,
downieville,2020,prefire,RedAnt29,km,RUBUS,live,SH,na,0.25,,,,
downieville,2020,prefire,RedAnt62,km,CEIN,live,SH,na,0.25,,,,
downieville,2020,prefire,RedAnt51,km,RIRO,live,SH,na,0.25,,,,
downieville,2020,prefire,RedAnt43,km,RIRO,live,SH,na,0.25,,,,
downieville,2020,prefire,RedAnt52,km,serratefleshyshrub,live,SH,na,0.25,x,,,
downieville,2020,prefire,RedAnt52,km,serratefleshyshrub,dead,SH,na,0.25,,,,
downieville,2020,prefire,RedAnt28,km,ARPA,live,SH,na,0.5,,,,
downieville,2020,prefire,RedAnt38,km,CELE,live,SH,na,0.5,,,,
downieville,2020,prefire,RedAnt52,km,quevac,live,SH,na,0.5,toothedstiffshrub,,,
downieville,2020,prefire,RedAnt50,km,RIRO,live,SH,na,0.5,,,,
downieville,2020,prefire,RedAnt38,km,RIRO,live,SH,na,0.5,,,,
downieville,2020,prefire,RedAnt29,km,RIRO,live,SH,na,0.5,small lvs nodal spines,,,
downieville,2020,prefire,RedAnt38,km,ARPA,live,SH,na,0.75,,,,
downieville,2020,prefire,RedAnt45,km,CEACUN,live,SH,na,0.75,,,,
downieville,2020,prefire,RedAnt28,km,CEIN,dead,SH,na,0.75,,,,
downieville,2020,prefire,RedAnt28,km,ARPA,dead,SH,na,1,,,,
downieville,2020,prefire,RedAnt32,vs,ARPA,live,SH,na,1,M,,,
downieville,2020,prefire,RedAnt35,vs,ARPA,live,SH,na,1,L,,,
downieville,2020,prefire,RedAnt30b,vs,ceanothus,live,SH,na,1,M,,,
downieville,2020,prefire,RedAnt32,vs,ceanothus,dead,SH,na,1,L,,,
downieville,2020,prefire,RedAnt35,vs,CECO,live,SH,na,1,H,,,
downieville,2020,prefire,RedAnt36,vs,CECO,live,SH,na,1,M,,,
downieville,2020,prefire,RedAnt37,vs,CECO,live,SH,na,1,L,,,
downieville,2020,prefire,RedAnt57,vs,CHRSEM,live,SH,na,1,,,,
downieville,2020,prefire,RedAnt54,vs,CHRSEM,live,SH,na,1,,,,
downieville,2020,prefire,RedAnt30b,vs,PRUEMA,live,SH,na,1,L,,,
downieville,2020,prefire,RedAnt35,vs,PRUEMA,live,SH,na,1,L,,,
downieville,2020,prefire,RedAnt57,vs,QUEVAC,live,SH,na,1,L,,,
downieville,2020,prefire,RedAnt54,vs,QUEVAC,live,SH,na,1,L,,,
downieville,2020,prefire,RedAnt35,vs,RIBES,live,SH,na,1,L,,,
downieville,2020,prefire,RedAnt35,vs,RIBES,live,SH,na,1,L,,,
downieville,2020,prefire,RedAnt28,km,RIBNEV,live,SH,na,1,thornless big lvs,,,
