site,plotid,pre_post_fire,postTime,year,obs,species,status,lifeform,layer_code,percent,notes
bearmountain,BM10,postfire,2yr,2021,"km, ag",arcvis,dead,SH,,1,
bearmountain,BM10,postfire,2yr,2021,"km, ag",asccor,live,FB,,tr,aslepias cordifolia
bearmountain,BM10,postfire,2yr,2021,"km, ag",big aster,live,FB,,2,
bearmountain,BM10,postfire,2yr,2021,"km, ag",broad lv latterballs carex,live,GR,,0.25,
bearmountain,BM10,postfire,2yr,2021,"km, ag",brocar,live,GR,,2,
bearmountain,BM10,postfire,2yr,2021,"km, ag",broele,live,FB,,tr,brodiaea elegans
bearmountain,BM10,postfire,2yr,2021,"km, ag",bromad,live,GR,,5,
bearmountain,BM10,postfire,2yr,2021,"km, ag",brome briza,live,GR,,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",brotec,live,GR,,5,
bearmountain,BM10,postfire,2yr,2021,"km, ag",cade,live,TR,TOV,2,
bearmountain,BM10,postfire,2yr,2021,"km, ag",cade,live,TR,TSE,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",calcol,live,FB,,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",carex big guy,live,GR,,0.25,acmispon glaber
bearmountain,BM10,postfire,2yr,2021,"km, ag",carex brown,live,GR,,0.25,
bearmountain,BM10,postfire,2yr,2021,"km, ag",carex small brown,live,GR,,tr,pseudognaphalium californicum
bearmountain,BM10,postfire,2yr,2021,"km, ag",carex1,live,GR,,3,
bearmountain,BM10,postfire,2yr,2021,"km, ag",cirsium,live,FB,,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",elygla,live,GR,,1,
bearmountain,BM10,postfire,2yr,2021,"km, ag",epiden,live,FB,,1,
bearmountain,BM10,postfire,2yr,2021,"km, ag",epilobium,live,FB,,1,
bearmountain,BM10,postfire,2yr,2021,"km, ag",erinau,live,SH,,0.25,
bearmountain,BM10,postfire,2yr,2021,"km, ag",funhyg,live,OTHER,,0.25,
bearmountain,BM10,postfire,2yr,2021,"km, ag",galbol,live,FB,,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",irihar,live,FB,,0.5,
bearmountain,BM10,postfire,2yr,2021,"km, ag",lacser,live,FB,,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",lepcil,live,FB,,0.5,
bearmountain,BM10,postfire,2yr,2021,"km, ag",lotus1,live,FB,,0.5,
bearmountain,BM10,postfire,2yr,2021,"km, ag",madia big,live,FB,,8,
bearmountain,BM10,postfire,2yr,2021,"km, ag",madia small,live,FB,,5,
bearmountain,BM10,postfire,2yr,2021,"km, ag",perpar,live,FB,,0.25,
bearmountain,BM10,postfire,2yr,2021,"km, ag",pipo,live,TR,TOV,18,
bearmountain,BM10,postfire,2yr,2021,"km, ag",pipo,live,TR,TSE,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",plalan,live,FB,,0.25,plantago lanceolata
bearmountain,BM10,postfire,2yr,2021,"km, ag",poa,live,GR,,3,
bearmountain,BM10,postfire,2yr,2021,"km, ag",poa2,live,GR,,0.5,bolanderi? looks like aira
bearmountain,BM10,postfire,2yr,2021,"km, ag",potgla,live,FB,,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",pruvir,live,SH,,0.25,
bearmountain,BM10,postfire,2yr,2021,"km, ag",psecal,live,FB,,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",quke,live,TR,TSE,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",ranunculus,live,FB,,1,
bearmountain,BM10,postfire,2yr,2021,"km, ag",red narrow lvs carex,live,GR,,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",rumace,live,FB,,1.5,
bearmountain,BM10,postfire,2yr,2021,"km, ag",sarsan,live,FB,,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",silene,live,FB,,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",tall dead fb,dead,FB,,1,
bearmountain,BM10,postfire,2yr,2021,"km, ag",tall lianthus,live,FB,,0.5,
bearmountain,BM10,postfire,2yr,2021,"km, ag",triixi,live,FB,,tr,
bearmountain,BM10,postfire,2yr,2021,"km, ag",vulmyu,live,GR,,85,
bearmountain,BM11,postfire,2yr,2021,"km, ag",achmil,live,FB,,1,
bearmountain,BM11,postfire,2yr,2021,"km, ag",agogra,live,FB,,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",arcvis,live,SH,,0.25,
bearmountain,BM11,postfire,2yr,2021,"km, ag",arcvis,dead,SH,,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",broorc,live,GR,,0.5,
bearmountain,BM11,postfire,2yr,2021,"km, ag",brotec,live,GR,,3,
bearmountain,BM11,postfire,2yr,2021,"km, ag",cade,live,TR,,5,
bearmountain,BM11,postfire,2yr,2021,"km, ag",cade,dead,TR,TOV,3,
bearmountain,BM11,postfire,2yr,2021,"km, ag",calcol,live,FB,,0.25,
bearmountain,BM11,postfire,2yr,2021,"km, ag",carex1,live,GR,,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",chafol,live,SH,,35,
bearmountain,BM11,postfire,2yr,2021,"km, ag",chafol ,dead,SH,,1,
bearmountain,BM11,postfire,2yr,2021,"km, ag",clarho,live,FB,,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",claung,live,FB,,0.5,clarkia unguiculata
bearmountain,BM11,postfire,2yr,2021,"km, ag",dicmul,live,FB,,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",elygla,live,GR,,2,
bearmountain,BM11,postfire,2yr,2021,"km, ag",epiden,live,FB,,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",epilobium,live,FB,,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",erilan,live,FB,,0.5,
bearmountain,BM11,postfire,2yr,2021,"km, ag",galbol,live,FB,,0.5,
bearmountain,BM11,postfire,2yr,2021,"km, ag",gaydif,live,FB,,0.5,
bearmountain,BM11,postfire,2yr,2021,"km, ag",irihar,live,FB,,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",latnev,live,FB,,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",lepcil,live,FB,,20,
bearmountain,BM11,postfire,2yr,2021,"km, ag",lotus1,live,FB,,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",madia big,live,FB,,2,
bearmountain,BM11,postfire,2yr,2021,"km, ag",madia small,live,FB,,7,
bearmountain,BM11,postfire,2yr,2021,"km, ag",pipo,live,TR,TOV,1,
bearmountain,BM11,postfire,2yr,2021,"km, ag",pipo,live,TR,TSA,0.25,
bearmountain,BM11,postfire,2yr,2021,mm,pipo,dead,TR,TSE,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",poa,live,GR,,3,
bearmountain,BM11,postfire,2yr,2021,"km, ag",potgla,live,FB,,tr,
bearmountain,BM11,postfire,2yr,2021,"km, ag",rumace,live,FB,,1,
bearmountain,BM11,postfire,2yr,2021,"km, ag",tall dead fb,dead,FB,,8,
bearmountain,BM11,postfire,2yr,2021,"km, ag",tall lianthus,live,FB,,2,
bearmountain,BM11,postfire,2yr,2021,"km, ag",vulmyu,live,GR,,10,
bearmountain,BM12,postfire,2yr,2021,"km, ag",abco,dead,TR,TOV,tr,
bearmountain,BM12,postfire,2yr,2021,"km, ag",acmgla,live,FB,,tr,
bearmountain,BM12,postfire,2yr,2021,"km, ag",arcvis,live,SH,,tr,recorded as arvis but assumed typo 
bearmountain,BM12,postfire,2yr,2021,"km, ag",arcvis,dead,SH,,0.5,
bearmountain,BM12,postfire,2yr,2021,"km, ag",brocar,live,GR,,0.5,
bearmountain,BM12,postfire,2yr,2021,"km, ag",broorc,live,GR,,1,
bearmountain,BM12,postfire,2yr,2021,"km, ag",brotec,live,GR,,1,
bearmountain,BM12,postfire,2yr,2021,"km, ag",cade,live,TR,TSE,tr,
bearmountain,BM12,postfire,2yr,2021,"km, ag",cade,dead,TR,TSE,2,
bearmountain,BM12,postfire,2yr,2021,mm,cade,dead,TR,TOV,1,
bearmountain,BM12,postfire,2yr,2021,"km, ag",ceaint,live,SH,,0.5,
bearmountain,BM12,postfire,2yr,2021,"km, ag",chafol,live,SH,,6,
bearmountain,BM12,postfire,2yr,2021,"km, ag",clarho,live,FB,,tr,
bearmountain,BM12,postfire,2yr,2021,"km, ag",epilobium,live,FB,,0.25,
bearmountain,BM12,postfire,2yr,2021,"km, ag",erinau,live,SH,,tr,
bearmountain,BM12,postfire,2yr,2021,"km, ag",gaydif,live,FB,,tr,
bearmountain,BM12,postfire,2yr,2021,"km, ag",irihar,live,FB,,0.25,
bearmountain,BM12,postfire,2yr,2021,"km, ag",juneff,live,GR,,tr,also  alled carex1
bearmountain,BM12,postfire,2yr,2021,"km, ag",latnev,live,FB,,0.25,
bearmountain,BM12,postfire,2yr,2021,"km, ag",lupalf,live,FB,,0.25,
bearmountain,BM12,postfire,2yr,2021,"km, ag",lupbre,live,FB,,5,lupinus breweri
bearmountain,BM12,postfire,2yr,2021,"km, ag",madia big,live,FB,,0.25,
bearmountain,BM12,postfire,2yr,2021,"km, ag",madia small,live,FB,,tr,
bearmountain,BM12,postfire,2yr,2021,"km, ag",pila,live,TR,TSE,tr,
bearmountain,BM12,postfire,2yr,2021,"km, ag",pila,live,TR,TOV,20,
bearmountain,BM12,postfire,2yr,2021,"km, ag",pipo,live,TR,TSE,tr,
bearmountain,BM12,postfire,2yr,2021,"km, ag",pipo,dead,TR,TSE,25,
bearmountain,BM12,postfire,2yr,2021,"km, ag",pipo,live,TR,TOV,8,
bearmountain,BM12,postfire,2yr,2021,"km, ag",poa,live,GR,,0.75,
bearmountain,BM12,postfire,2yr,2021,"km, ag",potgla,live,FB,,tr,
bearmountain,BM12,postfire,2yr,2021,"km, ag",psecal,live,FB,,0.25,pseudognaphalium californicum
bearmountain,BM12,postfire,2yr,2021,"km, ag",pseudognaphalium,live,FB,,0.25,also called seafoam aster
bearmountain,BM12,postfire,2yr,2021,"km, ag",stiocc,live,GR,,0.5,
bearmountain,BM12,postfire,2yr,2021,"km, ag",vulmyu,live,GR,,35,
bearmountain,BM13,postfire,2yr,2021,km,agogra,live,FB,,tr,
bearmountain,BM13,postfire,2yr,2021,km,aircar,live,GR,,0.25,
bearmountain,BM13,postfire,2yr,2021,km,brocar,live,GR,,1.5,
bearmountain,BM13,postfire,2yr,2021,km,brotec,live,GR,,13,
bearmountain,BM13,postfire,2yr,2021,km,cade,live,TR,TOV,6,
bearmountain,BM13,postfire,2yr,2021,mm,cade,dead,TR,TOV,0.25,
bearmountain,BM13,postfire,2yr,2021,km,calcol,live,FB,,0.5,
bearmountain,BM13,postfire,2yr,2021,km,carex2,live,GR,,0.25,
bearmountain,BM13,postfire,2yr,2021,km,chafol,live,SH,,80,
bearmountain,BM13,postfire,2yr,2021,km,comumb,live,FB,,tr,
bearmountain,BM13,postfire,2yr,2021,km,delphinium ,live,FB,,tr,
bearmountain,BM13,postfire,2yr,2021,km,dicmul,live,FB,,tr,
bearmountain,BM13,postfire,2yr,2021,km,elygla,live,GR,,0.25,
bearmountain,BM13,postfire,2yr,2021,km,epilobium,live,FB,,tr,
bearmountain,BM13,postfire,2yr,2021,km,eridis,live,SH,,0.25,
bearmountain,BM13,postfire,2yr,2021,km,galbol,live,FB,,0.5,
bearmountain,BM13,postfire,2yr,2021,km,irihar,live,FB,,0.25,
bearmountain,BM13,postfire,2yr,2021,km,lepcil,live,FB,,tr,
bearmountain,BM13,postfire,2yr,2021,km,madia big,live,FB,,tr,
bearmountain,BM13,postfire,2yr,2021,km,madia small ,live,FB,,0.5,
bearmountain,BM13,postfire,2yr,2021,km,pipo,live,TR,TSE,tr,
bearmountain,BM13,postfire,2yr,2021,km,pipo,live,TR,TOV,4,
bearmountain,BM13,postfire,2yr,2021,km,pipo,dead,TR,TSE,2,
bearmountain,BM13,postfire,2yr,2021,km,poa,live,GR,,6,
bearmountain,BM13,postfire,2yr,2021,km,quke,live,TR,TSE,0.75,
bearmountain,BM13,postfire,2yr,2021,km,quke,dead,TR,TSA,2.5,
bearmountain,BM13,postfire,2yr,2021,km,stiocc,live,GR,,2,
bearmountain,BM13,postfire,2yr,2021,km,tall lianthus,live,FB,,tr,
bearmountain,BM13,postfire,2yr,2021,km,vulmyu,live,GR,,8,
bearmountain,BM14,postfire,2yr,2021,km,achmil,live,FB,,tr,
bearmountain,BM14,postfire,2yr,2021,km,aircar,live,GR,,tr,
bearmountain,BM14,postfire,2yr,2021,km,arcvis,live,SH,,1,
bearmountain,BM14,postfire,2yr,2021,km,arcvis,dead,SH,,1,
bearmountain,BM14,postfire,2yr,2021,km,bromad,live,GR,,0.25,
bearmountain,BM14,postfire,2yr,2021,km,broorc,live,GR,,3,
bearmountain,BM14,postfire,2yr,2021,km,cade,live,TR,TOV,6,
bearmountain,BM14,postfire,2yr,2021,km,cade,dead,TR,TOV,3,
bearmountain,BM14,postfire,2yr,2021,km,cade,dead,TR,TSA,0.25,
bearmountain,BM14,postfire,2yr,2021,km,carex,live,GR,,tr,no infl
bearmountain,BM14,postfire,2yr,2021,km,chafol,live,SH,,24,
bearmountain,BM14,postfire,2yr,2021,km,chafol,dead,SH,,0.25,
bearmountain,BM14,postfire,2yr,2021,km,chlpom,live,FB,,0.5,chlorogalum pomeridianum
bearmountain,BM14,postfire,2yr,2021,km,crepis,live,FB,,tr,
bearmountain,BM14,postfire,2yr,2021,km,dicmul,live,FB,,tr,
bearmountain,BM14,postfire,2yr,2021,km,elygla,live,GR,,0.5,
bearmountain,BM14,postfire,2yr,2021,km,epilobium ,live,FB,,tr,
bearmountain,BM14,postfire,2yr,2021,km,eridis,live,FB,,1.5,
bearmountain,BM14,postfire,2yr,2021,km,galbol,live,FB,,1,
bearmountain,BM14,postfire,2yr,2021,km,gilia,live,FB,,0.25,weedy with wires
bearmountain,BM14,postfire,2yr,2021,km,latsul,live,FB,,tr,
bearmountain,BM14,postfire,2yr,2021,km,lepcil,live,FB,,75,
bearmountain,BM14,postfire,2yr,2021,km,lomdis,live,FB,,0.5,lomatium dissectum
bearmountain,BM14,postfire,2yr,2021,km,lotus1,live,FB,,3,
bearmountain,BM14,postfire,2yr,2021,km,madia big,live,FB,,0.75,
bearmountain,BM14,postfire,2yr,2021,km,madia small,live,FB,,25,
bearmountain,BM14,postfire,2yr,2021,km,phlgra,live,FB,,0.25,
bearmountain,BM14,postfire,2yr,2021,km,pipo,live,TR,TOV,3,
bearmountain,BM14,postfire,2yr,2021,km,pipo,dead,TR,TSE,tr,
bearmountain,BM14,postfire,2yr,2021,km,poa,live,GR,,7,
bearmountain,BM14,postfire,2yr,2021,km,potgla,live,FB,,tr,
bearmountain,BM14,postfire,2yr,2021,km,quke,live,TR,TSE,0.25,
bearmountain,BM14,postfire,2yr,2021,km,quke,live,TR,TSA,0.25,
bearmountain,BM14,postfire,2yr,2021,km,ranunculus ,live,FB,,tr,
bearmountain,BM14,postfire,2yr,2021,km,sanicula,live,FB,,1,
bearmountain,BM14,postfire,2yr,2021,km,stiocc,live,GR,,3,
bearmountain,BM14,postfire,2yr,2021,km,tall dead fb,dead,FB,,0.5,
bearmountain,BM14,postfire,2yr,2021,km,triixi,live,FB,,tr,
bearmountain,BM14,postfire,2yr,2021,km,viola,live,FB,,tr,
bearmountain,BM14,postfire,2yr,2021,km,vulmyu,live,GR,,7,
bearmountain,BM14,postfire,2yr,2021,km,wyeang,live,FB,,tr,wyethia angustifolia
bearmountain,BM15,postfire,2yr,2021,km,agogra,live,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,arcvis,live,SH,,0.5,
bearmountain,BM15,postfire,2yr,2021,km,arcvis,dead,SH,,1,
bearmountain,BM15,postfire,2yr,2021,km,brocar,live,GR,,tr,
bearmountain,BM15,postfire,2yr,2021,km,broorc,live,GR,,0.25,
bearmountain,BM15,postfire,2yr,2021,km,brotec,live,GR,,68,
bearmountain,BM15,postfire,2yr,2021,km,cade,live,TR,TSE,tr,
bearmountain,BM15,postfire,2yr,2021,km,cade,dead,TR,TOV,1.25,
bearmountain,BM15,postfire,2yr,2021,km,cade,dead,TR,TSE,0.25,
bearmountain,BM15,postfire,2yr,2021,km,calcol,live,FB,,4,
bearmountain,BM15,postfire,2yr,2021,km,carex2,live,GR,,0.25,
bearmountain,BM15,postfire,2yr,2021,km,chafol,live,SH,,83,
bearmountain,BM15,postfire,2yr,2021,km,clarho,live,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,clarho,dead,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,dicmul,live,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,epilobium,live,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,funhyg,live,OTHER,,tr,
bearmountain,BM15,postfire,2yr,2021,km,galbol,live,FB,,0.25,
bearmountain,BM15,postfire,2yr,2021,km,gaydif,live,FB,,0.25,
bearmountain,BM15,postfire,2yr,2021,km,irihar,live,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,juneff,live,GR,,tr,
bearmountain,BM15,postfire,2yr,2021,km,lacser,live,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,latsul,live,FB,,0.25,
bearmountain,BM15,postfire,2yr,2021,km,lepcil,live,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,madia big,live,FB,,0.25,
bearmountain,BM15,postfire,2yr,2021,km,madia small,live,FB,,0.5,
bearmountain,BM15,postfire,2yr,2021,km,pipo,live,TR,TSE,tr,
bearmountain,BM15,postfire,2yr,2021,km,pipo,live,TR,TOV,8,
bearmountain,BM15,postfire,2yr,2021,km,pipo,dead,TR,TSE,0.25,
bearmountain,BM15,postfire,2yr,2021,km,poa,live,GR,,12,
bearmountain,BM15,postfire,2yr,2021,km,pruvir,live,SH,,0.25,
bearmountain,BM15,postfire,2yr,2021,km,pseudognaphalium,live,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,quechr,live,TR,TSE,0.25,
bearmountain,BM15,postfire,2yr,2021,km,quke,live,TR,TSE,3,
bearmountain,BM15,postfire,2yr,2021,km,quke,live,TR,TSA,0.25,
bearmountain,BM15,postfire,2yr,2021,km,quke,live,TR,TOV,3,
bearmountain,BM15,postfire,2yr,2021,km,quke,dead,TR,TSA,3,
bearmountain,BM15,postfire,2yr,2021,mm,quke,dead,TR,TSE,tr,
bearmountain,BM15,postfire,2yr,2021,km,senecio,live,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,tall dead fb,dead,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,triixi,live,FB,,tr,
bearmountain,BM15,postfire,2yr,2021,km,vulmyu,live,GR,,30,
bearmountain,BM16,postfire,2yr,2021,km,agogra,live,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,arcvis,dead,SH,,0.25,
bearmountain,BM16,postfire,2yr,2021,km,broorc,live,GR,,1,
bearmountain,BM16,postfire,2yr,2021,km,brotec,live,GR,,1,
bearmountain,BM16,postfire,2yr,2021,km,cade,live,TR,TSE,tr,
bearmountain,BM16,postfire,2yr,2021,km,cade,live,TR,TOV,10,
bearmountain,BM16,postfire,2yr,2021,km,cade,dead,TR,TSE,0.25,
bearmountain,BM16,postfire,2yr,2021,km,calcol,live,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,carex2,live,GR,,0.5,
bearmountain,BM16,postfire,2yr,2021,km,chafol,live,SH,,73,
bearmountain,BM16,postfire,2yr,2021,km,clarho,dead,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,comumb,live,FB,,0.5,"formerly called seafoam prunus, comandra umbellata"
bearmountain,BM16,postfire,2yr,2021,km,dicmul,live,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,elyely,live,GR,,tr,
bearmountain,BM16,postfire,2yr,2021,km,elygla,live,GR,,1,
bearmountain,BM16,postfire,2yr,2021,km,epilobium,live,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,fat brome,live,GR,,0.25,
bearmountain,BM16,postfire,2yr,2021,km,irihar,live,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,latnev,live,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,latsul,live,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,lepcil,live,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,lupalf,live,FB,,0.25,
bearmountain,BM16,postfire,2yr,2021,km,madia big,live,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,madia small,live,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,pila,dead,TR,TOV,1.5,
bearmountain,BM16,postfire,2yr,2021,km,pipo,live,TR,TOV,26,mostly hybrids according to sp. list
bearmountain,BM16,postfire,2yr,2021,km,pipo,dead,TR,TSE,0.5,
bearmountain,BM16,postfire,2yr,2021,km,poa,live,GR,,5,
bearmountain,BM16,postfire,2yr,2021,km,pseudognaphalium,live,FB,,tr,
bearmountain,BM16,postfire,2yr,2021,km,quke,live,TR,TSE,0.25,
bearmountain,BM16,postfire,2yr,2021,km,quke,dead,TR,TSA,0.25,
bearmountain,BM16,postfire,2yr,2021,km,vulmyu,live,GR,,30,
bearmountain,BM17,postfire,2yr,2021,km,acmgla,live,FB,,0.75,
bearmountain,BM17,postfire,2yr,2021,km,agogra,live,FB,,0.25,
bearmountain,BM17,postfire,2yr,2021,km,arcvis,live,SH,,5,
bearmountain,BM17,postfire,2yr,2021,km,arcvis,dead,SH,,3,
bearmountain,BM17,postfire,2yr,2021,km,broorc,live,GR,,tr,
bearmountain,BM17,postfire,2yr,2021,km,brotec,live,GR,,75,
bearmountain,BM17,postfire,2yr,2021,km,cade,live,TR,TSA,0.25,
bearmountain,BM17,postfire,2yr,2021,km,calcol,live,FB,,0.25,
bearmountain,BM17,postfire,2yr,2021,km,chafol,live,SH,,37,
bearmountain,BM17,postfire,2yr,2021,km,clarho,live,FB,,tr,
bearmountain,BM17,postfire,2yr,2021,km,claung,live,FB,,tr,clarkia
bearmountain,BM17,postfire,2yr,2021,km,dicmul,live,FB,,tr,
bearmountain,BM17,postfire,2yr,2021,km,elygla,live,GR,,1,
bearmountain,BM17,postfire,2yr,2021,km,epilobium,live,FB,,0.25,
bearmountain,BM17,postfire,2yr,2021,km,erinau,live,SH,,0.25,
bearmountain,BM17,postfire,2yr,2021,km,galbol,live,FB,,tr,
bearmountain,BM17,postfire,2yr,2021,km,gaydif,live,FB,,tr,
bearmountain,BM17,postfire,2yr,2021,km,gilcap,live,FB,,0.5,
bearmountain,BM17,postfire,2yr,2021,km,irihar,live,FB,,tr,
bearmountain,BM17,postfire,2yr,2021,km,lepcil,live,FB,,1,
bearmountain,BM17,postfire,2yr,2021,km,lotus1,live,FB,,tr,
bearmountain,BM17,postfire,2yr,2021,km,lupalf,live,FB,,0.25,
bearmountain,BM17,postfire,2yr,2021,km,madia big,live,FB,,3,
bearmountain,BM17,postfire,2yr,2021,km,madia small,live,FB,,20,
bearmountain,BM17,postfire,2yr,2021,km,phlgra,live,FB,,0.5,
bearmountain,BM17,postfire,2yr,2021,km,pipo,live,TR,TSE,0.25,
bearmountain,BM17,postfire,2yr,2021,km,pipo,dead,TR,TOV,0.25,
bearmountain,BM17,postfire,2yr,2021,km,pipo,dead,TR,TSE,tr,
bearmountain,BM17,postfire,2yr,2021,km,poa,live,GR,,2,
bearmountain,BM17,postfire,2yr,2021,km,potgla,live,FB,,tr,
bearmountain,BM17,postfire,2yr,2021,km,pruvir,live,SH,,2.5,
bearmountain,BM17,postfire,2yr,2021,km,pseudognaphalium,live,FB,,tr,
bearmountain,BM17,postfire,2yr,2021,km,quke,live,TR,TSE,0.5,
