site,plotid,pre_post_fire,postTime,obs,year,species,status,lifeform,layer_code,percent,notes,collected,pic
RioLindo,RIO003,prefire,,km,2021,lonhis,live,SH,,0.25,,,
RioLindo,RIO004,prefire,,km,2021,lonhis,live,SH,,0.25,,,
RioLindo,RIO005,prefire,,km,2021,lonhis,live,SH,,tr,,,
RioLindo,RIO006,prefire,,km,2021,lonhis,live,SH,,1,,,
RioLindo,RIO007,prefire,,km,2021,lonhis,live,SH,,tr,,,
RioLindo,RIO008,prefire,,km,2021,lonhis,live,SH,,0.25,,,
RioLindo,RIO009,prefire,,km,2021,lonhis,live,SH,,tr,,,
Bouverie,BOUV001,prefire,,km,2021,madia,live,FB,,tr,,,
Bouverie,BOUV003,prefire,,km,2021,madia,live,FB,,tr,,,
Bouverie,BOUV006,prefire,,km,2021,madia,live,FB,,tr,,,
Bouverie,BOUV008,prefire,,km,2021,madia,live,FB,,tr,,,
Bouverie,BOUV001,prefire,,km,2021,melcal,live,GR,,1,,,
Bouverie,BOUV002,prefire,,km,2021,melcal,live,GR,,tr,,,
Bouverie,BOUV003,prefire,,km,2021,melcal,live,GR,,5,,,
Bouverie,BOUV004,prefire,,km,2021,melcal,live,GR,,8,,,
Bouverie,BOUV005,prefire,,km,2021,melcal,live,GR,,70,,,
Bouverie,BOUV006,prefire,,km,2021,melcal,live,GR,,7,,,
Bouverie,BOUV007,prefire,,km,2021,melcal,live,GR,,0.25,,,
Bouverie,BOUV008,prefire,,km,2021,melcal,live,GR,,33,,,
Bouverie,BOUV009,prefire,,km,2021,melcal,live,GR,,8,,,
Bouverie,BOUV010,prefire,,km,2021,melcal,live,GR,,27,,,
Bouverie,BOUV011,prefire,,km,2021,melcal,live,GR,,55,,,
Bouverie,BOUV012,prefire,,km,2021,melcal,live,GR,,5,,,
RioLindo,RIO001,prefire,,km,2021,melcal,live,GR,,0.25,,,
RioLindo,RIO002,prefire,,km,2021,melcal,live,GR,,tr,,,
RioLindo,RIO003,prefire,,km,2021,melcal,live,GR,,tr,,,
RioLindo,RIO004,prefire,,km,2021,melcal,live,GR,,tr,,,
RioLindo,RIO007,prefire,,km,2021,melcal,live,GR,,tr,,,
RioLindo,RIO008,prefire,,km,2021,melcal,live,GR,,0.25,,,
RioLindo,RIO009,prefire,,km,2021,melcal,live,GR,,1.5,,,
Bouverie,BOUV001,prefire,,km,2021,melcal,live,GR,,6,,,
Bouverie,BOUV001,prefire,,km,2021,menarv,live,FB,,2,,,
Bouverie,BOUV002,prefire,,km,2021,menarv,live,FB,,tr,,,
Bouverie,BOUV003,prefire,,km,2021,menarv,live,FB,,tr,,,
Bouverie,BOUV004,prefire,,km,2021,menarv,live,FB,,1,,,
Bouverie,BOUV005,prefire,,km,2021,menarv,live,FB,,6,,,
Bouverie,BOUV006,prefire,,km,2021,menarv,live,FB,,tr,,,
Bouverie,BOUV007,prefire,,km,2021,menarv,live,FB,,tr,,,
Bouverie,BOUV008,prefire,,km,2021,menarv,live,FB,,0.25,,,
Bouverie,BOUV009,prefire,,km,2021,menarv,live,FB,,0.5,,,
Bouverie,BOUV010,prefire,,km,2021,menarv,live,FB,,0.25,,,
Bouverie,BOUV011,prefire,,km,2021,menarv,live,FB,,0.25,,,
RioLindo,RIO001,prefire,,km,2021,menarv,live,FB,,tr,,,
RioLindo,RIO004,prefire,,km,2021,menarv,live,FB,,tr,,,
RioLindo,RIO005,prefire,,km,2021,menarv,live,FB,,tr,,,
RioLindo,RIO007,prefire,,km,2021,menarv,live,FB,,tr,,,
RioLindo,RIO008,prefire,,km,2021,menarv,live,FB,,0.25,originally recorded as monarv but assumed typo,,
RioLindo,RIO009,prefire,,km,2021,menarv,live,FB,,tr,,,
Bouverie,BOUV001,prefire,,km,2021,mimauraur,live,FB,,tr,,,
Bouverie,BOUV002,prefire,,km,2021,mimauraur,live,FB,,0.25,,,
Bouverie,BOUV003,prefire,,km,2021,mimauraur,live,FB,,0.5,,,
Bouverie,BOUV004,prefire,,km,2021,mimauraur,live,FB,,6,,,
Bouverie,BOUV005,prefire,,km,2021,mimauraur,live,FB,,2,,,
Bouverie,BOUV006,prefire,,km,2021,mimauraur,live,FB,,1,,,
Bouverie,BOUV007,prefire,,km,2021,mimauraur,live,FB,,32,,,
Bouverie,BOUV008,prefire,,km,2021,mimauraur,live,FB,,8,,,
Bouverie,BOUV009,prefire,,km,2021,mimauraur,live,FB,,26,,,
Bouverie,BOUV010,prefire,,km,2021,mimauraur,live,FB,,0.25,,,
Bouverie,BOUV011,prefire,,km,2021,mimauraur,live,FB,,13,,,
Bouverie,BOUV012,prefire,,km,2021,mimauraur,live,FB,,10,,,
RioLindo,RIO008,prefire,,km,2021,mimauraur,live,FB,,tr,,,
Bouverie,BOUV005,prefire,,km,2021,monvil,live,FB,,tr,monardella villosa,,
Bouverie,BOUV006,prefire,,km,2021,monvil,live,FB,,tr,,,
Bouverie,BOUV008,prefire,,km,2021,monvil,live,FB,,tr,,,
RioLindo,RIO001,prefire,,km,2021,oleeur,live,TR,TSE,tr,,,
RioLindo,RIO002,prefire,,km,2021,oleeur,live,TR,TSA,0.75,,,
RioLindo,RIO003,prefire,,km,2021,oleeur,live,TR,TSE,tr,,,
RioLindo,RIO004,prefire,,km,2021,oleeur,live,TR,TSE,tr,,,
RioLindo,RIO007,prefire,,km,2021,oleeur,live,TR,TSE,tr,,,
Bouverie,BOUV011,prefire,,km,2021,opp fb,live,FB,,tr,,x,x
Bouverie,BOUV012,prefire,,km,2021,opp fb,live,FB,,tr,,,
RioLindo,RIO001,prefire,,km,2021,osmber,live,FB,,0.5,,,
RioLindo,RIO002,prefire,,km,2021,osmber,live,FB,,1,,,
RioLindo,RIO003,prefire,,km,2021,osmber,live,FB,,tr,,,
RioLindo,RIO004,prefire,,km,2021,osmber,live,FB,,tr,,,
RioLindo,RIO005,prefire,,km,2021,osmber,live,FB,,0.25,,,
RioLindo,RIO006,prefire,,km,2021,osmber,live,FB,,tr,,,
RioLindo,RIO007,prefire,,km,2021,osmber,live,FB,,tr,,,
RioLindo,RIO008,prefire,,km,2021,osmber,live,FB,,1,,,
RioLindo,RIO009,prefire,,km,2021,osmber,live,FB,,0.25,,,
