1,Date,Plot ID,Observers,X,Y,Burn (y/n),FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,ExistingVeg (Top3TOV),WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.4m live,TOV_modHT(m),TSA(%)<1.4m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.8m,ST_modHT(m),1.8m> SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,LITTER,BlackLitter,ASH,CWD (>7.62 cm),CONES% / dom spp.,Boulder/Bedrock (>600 mm),ROCK (75-600mm),SMROCK (<75 mm),BASALVEG,CRYPTOGRAMS,RD,BURN PILE,Total Ground Cover (%) ,History,NOTES
30,8/19/2021,VR1,"km, mv",,,no,0 - unburned,42,336,LL,LL,"abma, pimo, pico",4.7,221,459,35,31.25,19,2,14,31,19,0.25,1.6,0.25,0.1,0,na,0,na,0,na,0,na,0,na,0,na,tr,0.03,7,0.2,0.5,84,tr,0,10,tr,2,0.25,2,1.25,0,0,0,100,,
34,8/19/2021,VR10,"km, mv",,,no,0 - unburned,38,26,LL,LL,"abma, pimo, carros",10.7,181,543,31,24,4,1.25,19,22,4,2,1.8,1.5,0.5,0,na,0,na,0,na,0,na,0,na,0,na,0.25,0.1,11,0.2,tr,89.25,tr,0,4,".25, pimo",tr,tr,5,1.5,0,0,0,99.75,mm and sb helped at end,
33,8/19/2021,VR10N,"km, mv",,,no,0 - unburned,20,50,LL,LL,"pimo, abma, pico",9.9,188,1126,38,21.25,13,25,0.4,21,13,0,na,0.25,0.3,0,na,17,0.3,tr,0.2,0,na,0,na,17,0.3,0.5,0.3,4,0.2,0.5,74,tr,0,2.5,tr,2,tr,20,1,0,0,0,100,,
40,8/18/2021,VR11,"sb, mm",,,no,0 - unburned,33,25,LL,LL,"pimo, abma, abco",11,208,4101,44,42,17,3,23.3,42,17,0.25,2.5,0.25,0.28,0,na,0,na,0,na,0,na,0,na,0,na,0.75,0.17,5,0.14,3,78.25,0,0,6,0.25 pimo,3.25,tr,0.25,2.5,0,0,6.5,99.75,,.25 pimo cones
29,8/18/2021,VR11N,"km, mv",,,no,0 - unburned,36,43,LL,LL,"abma, pimo, abco",9.05,340,1106,15,13.75,24,0.5,2,13,24,0.5,1.9,0.25,0.1,0,na,0.25,0.5,0,na,0,na,tr,0.6,0.25,0.5,0.25,0.2,2.5,0.2,1,85.5,0,0,1.5,tr,0.75,0.25,9,1.5,0,0,0.5,100,"area torn up, couldnt find rebar so placed new one in the spot that made the most sense",
20,8/13/2021,VR12,"km, mm",,,no,0 - unburned,48,32,LL,LL,"abco, abma, pimo",4.3,200,737,36,34,19,0.25,4,34,19,0.25,1.6,0.25,0.1,0,na,1,0.5,0,na,0,na,tr,0.6,1,0.5,0.75,0.05,0.25,0.5,tr,93.25,tr,0,5,tr,0,0.25,tr,1.5,0,0,0,100,,
15,8/12/2021,VR12N,"ag, mm, km",,,no,0 - unburned,23,111,LL,LL,"abma, pico, abco",8.1,231,1149,75,55,25,0,na,55,25,1.25,2.7,0.5,0.5,0,na,13.5,0.5,0,na,0,na,3.5,0.7,13.5,0.5,9,0.3,5,0.6,tr,93,0,0,5,tr,0.5,0.5,tr,1,0,0,0,100,,
27,8/18/2021,VR13,"km, mv",,,no,0 - unburned,17,38,LL,LL,"abco, pico, corserser",1,214,762,95,52,9,2,23,47,9,2.25,3.4,1.25,0.1,20,4,55,0.7,0,na,23,4,53,0.7,55,0.5,37,0.5,7,1.2,tr,85.25,0,0,7,tr,5,0.25,tr,1.5,tr,0,0,99,1% of ground cover is from water tank,
9,8/11/2021,VR13N,"ag, mm, km",,,no,0 - unburned,7,32,LL,LL,"abma, pico, abco",6,188,1201,86,65,20,3.25,8.6,65,20,0.75,2,2,0.6,0,na,10,0.5,0.25,0.3,0,na,0.5,0.7,10,0.5,10,0.6,15,1.1,tr,82.5,0,0,9,0.25,1,5,tr,2,0.25,0,0,100,,
36,8/20/2021,VR14,"km, mv",,,no,0 - unburned,14,326,LL,LL,"abco, abma, poawhe",8.7,209,312,65,60,3,3,14.2,55,3,7.5,2.3,2,0.9,0,na,2,0.5,0,na,tr,1.9,1,1.2,2,0.5,0.25,0.1,5,0.2,0.25,65,0,0,1.5,tr,2,0.25,30,1,0,0,0,100,,"ground nest by large abco/dead abma at south transect! Fuels were bumped up and the area was avoided, those 2 trees were not measured"
25,8/17/2021,VR14N,"km, mm, mv",,,no,0 - unburned,11,40,LL,LL,"pico, abma, abco",10.1,282,302,50,17,25,0,na,17,25,0.5,3.2,tr,1.2,0,na,27,0.7,0.25,0.3,0,na,25,0.7,27,0.5,1.5,0.05,4,0.2,20,66.5,0,0,3,tr,3.5,0.25,5,0.75,tr,0,0.25,99.25,".75% of plot pile of chopped cwd, stacked,",
