site,year,plot_id,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,notes
bearmtn,2019,BM1,0,0,2,2,4,11.3,0,2,0,2,3,0,4,
bearmtn,2019,BM1,180,0,2,2,4,11.3,3,3,1,0,0.05,0.05,1.5,
bearmtn,2019,BM1,90,0,2,2,4,11.3,5,4,0,0,2,0,1,
bearmtn,2019,BM1,270,0,2,2,4,11.3,2,1,0,0,1,0,2,
bearmtn,2019,BM2,0,0,2,2,4,11.3,0,2,2,1,3,0.05,1.5,
bearmtn,2019,BM2,180,0,2,2,4,11.3,2,0,0,0.05,3,0,0,
bearmtn,2019,BM2,90,21,2,2,4,11.3,0,0,0,0,1.5,0.5,0,
bearmtn,2019,BM2,270,21,2,2,4,11.3,0,0,0,0,1,0,0,
bearmtn,2019,BM3,0,0,2,2,4,11.3,0,0,2,1,2,0,0.05,
bearmtn,2019,BM3,180,0,2,2,4,11.3,2,1,0,0,0,0,0,
bearmtn,2019,BM3,90,0,2,2,4,11.3,0,2,1,0,1,0,1,
bearmtn,2019,BM3,270,0,2,2,4,11.3,0,0,0,0,2,0,2,
bearmtn,2019,BM4,0,0,2,2,4,11.3,6,4,0,0,1,0,3,
bearmtn,2019,BM4,180,0,2,2,4,11.3,1,0,0,0,0,0,0.05,
bearmtn,2019,BM4,90,0,2,2,4,11.3,0,0,0,1,2,0,0.05,
bearmtn,2019,BM4,270,0,2,2,4,11.3,0,0,0,0,0,0,0.05,
bearmtn,2019,BM5,0,0,2,2,4,11.3,0,1,1,0,0,0.05,1.5,
bearmtn,2019,BM5,180,0,2,2,4,11.3,0,0,0,0,0,0,0,
bearmtn,2019,BM5,90,0,2,2,4,11.3,4,1,0,0,1,0,1,
bearmtn,2019,BM5,270,0,2,2,4,11.3,4,0,0,0,2,0,2,
bearmtn,2019,BM6,0,0,2,2,4,11.3,5,1,0,1,1,2,2,
bearmtn,2019,BM6,180,0,2,2,4,11.3,5,0,0,0.5,2,0,1.5,
bearmtn,2019,BM6,90,21,2,2,4,11.3,1,0,0,1,2,0.05,1.5,
bearmtn,2019,BM6,270,0,2,2,4,11.3,0,0,0,0,0,0,0.05,
bearmtn,2019,BM7,0,0,2,2,4,11.3,2,4,4,0.5,0.5,3,4,
bearmtn,2019,BM7,180,0,2,2,4,11.3,0,0,0,0,0.5,0,0,
bearmtn,2019,BM7,90,0,2,2,4,11.3,0,1,2,0,1,0,0.05,
bearmtn,2019,BM7,270,0,2,2,4,11.3,0,4,3,0,2,0.05,2,
bearmtn,2019,BM8,0,0,2,2,4,11.3,0,0,0,0,1,0,1,
bearmtn,2019,BM8,180,0,2,2,4,11.3,0,0,0,0,0,0,3,
bearmtn,2019,BM8,90,0,2,2,4,11.3,8,5,1,0.5,2,0.05,0.5,
bearmtn,2019,BM8,270,0,2,2,4,11.3,0,0,1,0,0.05,0,0.5,
bearmtn,2019,BM9,0,0,2,2,4,11.3,0,3,0,0,0,0,1,
bearmtn,2019,BM9,180,0,2,2,4,11.3,4,5,2,0,2,0,0,
bearmtn,2019,BM9,90,0,2,2,4,11.3,0,3,1,0,2.5,2,3,
bearmtn,2019,BM9,270,0,2,2,4,11.3,1,0,0,0.05,1,0.05,2,
bearmtn,2019,BM10,0,0,2,2,4,11.3,0,0,2,0.05,2.5,0,2,
bearmtn,2019,BM10,180,0,2,2,4,11.3,0,0,1,0,1.5,0,0.05,
bearmtn,2019,BM10,90,0,2,2,4,11.3,2,0,1,0,0,0,1.9,
bearmtn,2019,BM10,270,0,2,2,4,11.3,0,0,0,0.05,1,0.5,1,
bearmtn,2019,BM11,0,0,2,2,4,11.3,2,0,0,0.05,0.05,0,0.05,
bearmtn,2019,BM11,180,0,2,2,4,11.3,12,0,0,0,0.5,0,0.5,
bearmtn,2019,BM11,90,0,2,2,4,11.3,4,2,1,0,2,0,1,
bearmtn,2019,BM11,270,0,2,2,4,11.3,5,1,0,0.05,2,0.05,0.05,
bearmtn,2019,BM12,0,0,2,2,4,11.3,2,1,1,0,2,0,0,
bearmtn,2019,BM12,180,0,2,2,4,11.3,0,4,0,0,0.05,0.05,0.05,
bearmtn,2019,BM12,90,0,2,2,4,11.3,2,4,0,0,1,0,1,
bearmtn,2019,BM12,270,0,2,2,4,11.3,4,3,0,0,2,0,2,
bearmtn,2019,BM13,0,0,2,2,4,11.3,2,0,0,0,0,0.05,2,
