Year,Date,Plot ID,Observers,X,Y,Elevation,Burn (y/n),FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,ExistingVeg (Top3TOV),WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.4m live,TOV_modHT(m),TSA(%)<1.4m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.8m,ST_modHT(m),1.8m> SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,LITTER,BlackLitter,ASH,CWD (>7.62 cm),Boulder/Bedrock (>600 mm),ROCK (75-600mm),SMROCK (<75 mm),BASALVEG,CRYPTOGRAMS,Total Ground Cover (%) ,History,NOTES,,
,,BlackOak01,,,,,,,14,67,PL,PL,,,,,,60,,,,60,,1,,1.5,0.1,0,na,tr,0.2,0,na,0,na,0,tr,tr,0.2,,,,,7,92,0,0,tr,0,tr,tr,1,tr,100,,,,
2021,6/3/2021,SPI10,"KM,MM,MV,AG,JW",,,,yes,1,18,,,,"pipo, cade, pila",,,,94,90,20,tr,0.2,90,20,1,3.5,tr,0.02,0,na,0.5,0.2,0,na,0,na,0,na,0.5,0.2,15,0.5,tr,0.5,32.5,65,tr,0,1,0,0,tr,1.5,0,100,,,"plot has been treated, bulldozer, mastication?",
2021,6/3/2021,SPI9,"KM,MM,MV,AG,JW",,,,yes,1,,,,,"pipo, chafol, pteaqu",,,,97,75,20,0,na,75,20,0.25,3,tr,0.1,90,0.2,90,0.2,tr,0.1,0,na,tr,0.7,90,0.2,0.75,0.2,0.25,0.3,3,95.5,tr,0.5,0,tr,tr,0,1,0,100,,,,
2021,6/3/2021,SPI8,"KM,MM,MV,AG,JW",,,,yes,,,,,,"pipo, chafol, abco",,,,97,80,21,tr,0.1,80,21,2,3,tr,0.2,0,na,40,0.3,tr,0.2,0,na,0,na,40,0.3,1.25,0.2,0.5,0.2,8,91,tr,0,tr,0,tr,tr,1,0,100,,overhanging quke tov in plot,,
2021,6/3/2021,SPI11,"KM, MM, MV",,,,yes,1,,,,,"pipo, quke, cade",,,,90,68,18,tr,1.6,68,18,0,na,tr,0.1,0,na,30,0.2,0,na,0,na,0,na,30,0.2,1.5,0.1,tr,0.4,1,98,0,0,0,tr,tr,0,1,tr,100,,,,"dozer completely ripped through plot, h2o drop 170"
2021,6/4/2021,SPI7,"KM, MM, MV",,,,yes,1,,,,,"pipo, chafol, cade",10.8,186,,90,82,7,tr,0.2,82,7,0.5,2.5,tr,0.1,0,na,30,0.3,0,na,0,na,0.5,0.6,30,0.3,1.25,0.2,0.25,0.4,2,95,0,0,2,0,0,tr,1,tr,100,,masticated,bulldozer through plot. couldnt find rebar but found what seemed to be W and E end flagging so set up plot according to that. couldnt get witness tree info to fit so established new witness tree,
2021,6/4/2021,SPI3,"KM, MM, MV",,,,yes,1,,,,,"psme, cade, chafol",2,322,,60,3.5,0.5,0,na,1.5,,0,na,2,0.3,0,na,2.5,0.1,tr,0.1,0,na,tr,0.5,2.5,0.1,3,0.2,8,0.75,tr,98.5,0.5,0,0,tr,0,0,1,tr,100,,,,
2021,6/4/2021,SPI2,"KM, MM, MV",,,,yes,2,,,,,"pipo, cade, psme",7.5,180,,74,74,23,1,,74,23,0,na,0.25,0.3,0,na,tr,0.2,0,na,0,na,0,na,tr,0.2,tr,0.1,tr,0.4,tr,96,tr,0,3,0,tr,tr,1,0,100,,masticated,,
2021,6/4/2021,SPI6,"KM, MM, MV",,,,yes,1,,,,,"cade, abco, psme",2.5,320,,85,35,0.05,0.25,9,35,35,1,1.8,1.5,1,0,na,25,0.8,0,na,0,na,20,0.8,25,0.5,10,0.1,0.25,0.6,5,93.5,tr,tr,tr,0,tr,tr,1.5,tr,100,,masticated,,
2021,6/5/2021,SPI5,"KM, MM, MV",,,,yes,1,,,,,"cade, abco, quke",10,278,,45,30,0.7,0,na,29,,0,na,1,0.7,1,0.7,0.5,0.3,0,na,0,na,tr,0.6,0.5,0.3,1.5,0.1,5,0.9,1.5,96,1.5,tr,tr,0,tr,tr,1,tr,100,,masticated,"replaced rebar, found 3 flags around",
2021,6/5/2021,SPI4,"KM, MM, MV",,,,yes,1,,,,,"cade, abco, madgra",9,230,,85,20,0.05,0,na,20,,0,na,1,0.05,0.5,0.8,0.5,0.3,0,na,0,na,0,na,0.5,0.3,50,0.2,20,0.5,1.5,97,tr,0,0.5,0,tr,tr,1,0,100,,,,
2021,6/5/2021,SPI1,"KM, MM, MV",,,,yes,1,,,,,"pipo, cade, abco",6,210,,70,70,0.9,3,0.9,70,19,0,na,tr,0.05,tr,0.3,tr,0.3,tr,0.4,0,na,0,na,tr,0.3,tr,0.1,tr,0.3,tr,99.25,tr,0,tr,0,0,tr,0.75,0,100,,masticated,punjee sticks,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
