Site,Date,Plot ID,year,Observers,X,Y,Burn (y/n),FireSeverity,Slope%,Aspect_degree,HorizontalShape,VerticalShape,ExistingVeg (Top3TOV),WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.4m live,TOV_modHT(m),TSA(%)<1.4m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >1.8m,ST_modHT(m),1.8m> SM(%) >0.5m,SM_modHT(m),SL(%) <0.5m,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,LITTER,BlackLitter,ASH,CWD (>7.62 cm),CONES% / dom spp.,Boulder/Bedrock (>600 mm),ROCK (75-600mm),SMROCK (<75 mm),BASALVEG,CRYPTOGRAMS,RD,Total Ground Cover (%) ,History,NOTES,
RioLindo,7/13/2021,RIO002,2021,"km, ag, mm, mv",,,no,0 - unburned,22,310,LL,CV,"quwi, umbcal, fralat",5,28,1629,99,98,9,1,2,98,9,10,4,0.75,0.75,0,na,32,0.4,0,na,0,na,0.75,0.6,32,0.4,22,0.3,7,0.4,tr,98,0,0,0.5,tr,0,0.5,tr,1,tr,0,100,,witness tree is not first tree,
RioLindo,7/13/2021,RIO006,2021,"km, ag, mm, mv",,,no,0 - unburned,18,334,LL,LL,"quwi, umbcal, arbmen",4,7,1670,99,93,13,0.5,,93,13,2,3.5,2.75,0.6,0.5,0.6,21,0.6,0,na,10,6,2,0.6,21,0.5,2.5,0.15,14,0.2,tr,95.25,0,0,4,tr,0,0,tr,0.75,tr,0,100,,,
RioLindo,7/14/2021,RIO008,2021,"km, ag, mm, mv",,,no,0 - unburned,37,0,LL,LL,"quwi, arbmen, hetarb",10,1,1921,100,98,17,0.25,3,98,17,5,2.5,2.75,0.8,5,1.5,80,0.7,0,na,0.25,2.2,60,0.7,80,0.5,2,0.2,0.75,0.3,tr,98,0,0,1,0,0,0,tr,0.75,0.25,0,100,,,
RioLindo,7/14/2021,RIO005,2021,"km, ag, mm, mv",,,no,0 - unburned,61,0,LL,LL,"umbcal, quwi, acemac",2,255,1959,99,96,15,0.75,10,96,15,12.5,3.5,2,0.2,7,2.5,97,0.25,0,na,28,2.7,29,1.7,97,0.25,35,0.5,0,na,2,94.5,0,0,3,tr,0,tr,tr,0.5,tr,0,100,,"lots of browsing on quwi tse, fb % cover includes 34% fern",
RioLindo,7/14/2021,RIO001,2021,"km, ag, mm, mv",,,no,0 - unburned,34,18,LL,CC,"quwi, umbcal, quag",6.5,218,1961,99,99,14,0.25,5,98,14,10,5,. 25,0.3,7,4,46,0.4,0,na,tr,2,2,0.8,46,0.4,3.25,0.1,0.5,0.3,0.25,97.75,tr,0,1,tr,0,tr,tr,1,tr,0,100,,fb % cover includes 2% fern,
RioLindo,7/14/2021,RIO003,2021,"km, ag, mm, mv",,,no,0 - unburned,3,324,LL,LL,"quwi, quag, umbcal",3.2,194,1981,98,98,8,0,na,98,8,7,4,2,0.4,0.25,0.3,24,0.5,0,na,0.5,3,7,0.7,24,0.5,0.75,0.1,tr,0.3,0.25,98.5,0,0,tr,0,0,0,tr,1,0.25,0,100,,,
Bouverie,7/15/2021,BOUV005,2021,"km, ag, mm, mv",,,no,0 - unburned,44,270,LL,CV,"quag, umbcal, hettoy",8,172,4600,100,90,11,30,3.2,82,11,32,3,8,1,45,3,21,0.5,0,na,0,na,10,0.5,21,0.6,12,0.3,72,0.6,tr,95.25,0,0,2.5,0,0,1,tr,1,0.25,0,100,,,
Bouverie,7/15/2021,BOUV011,2021,"km, mm, mv",,,no,0 - unburned,40,130,CV,LL,"quag, quke, umbcal",8.4,205,4615,98,81,12,0,na,80,12,1.5,2,1.25,1.2,0.5,0.2,1.5,0.4,0,na,0,na,0.25,0.8,1.5,0.4,20,0.2,60,0.4,tr,94,0,0,4,0,1,0.5,tr,0.5,tr,0,100,thinned - fuels left on the ground,,
Bouverie,7/15/2021,BOUV012,2021,"km, mm, mv",,,no,0 - unburned,60,130,CV,LL,"quag, hettoy, umbcal",11.2,182,4620,85,47,10,tr,7.4,47,10,3.75,2.4,5,0.4,4,0.4,8,1,0,na,tr,1.9,10,1,8,0.1,70,0.9,10,0.5,tr,90,0.25,0,6,0,0.75,2,0.5,0.5,tr,0,100,,,
RioLindo,7/16/2021,RIO007,2021,"km, mm, mv",,,no,0 - unburned,43,50,CC,UN,"psme, quag, umbcal",7.5,37,4627,98,95,27,1,2.7,91,27,22,3,0.75,0.6,0.25,0.2,55,0.3,0,na,0.5,6,1.5,0.7,55,0.3,33,0.5,0.25,0.5,0.25,98.25,0,0,0.25,tr,0,0,0.25,1,tr,0,100,,trails run thru,
